Author,Affiliation
Zhehui Huang,"Master student of computer science, University of Southern California"
Tushar Kumar,"Principal. Scientist, Animal Reproduction, NDRI, Karnal"
Gaurav Sukhatme,"Professor and Fletcher Jones Endowed Chair, Departments of Computer Science and …"
Azade Nazi,Research Scientist at Google Brain
Yujia Li,"Research Scientist, DeepMind"
Qing Li,"Professor of Educational Technology & Literacy, Towson University"
Siyuan Huang,Eli Lilly & Company
Yining Hong,"PhD Student, Department of Information Engineering, The Chinese University of Hong Kong"
Yixin Chen,"Professor, Computer Science Department, Washington University"
Ying Nian Wu,UCLA Department of Statistics
Song-Chun Zhu,"Professor of Statistics and Computer Science, UCLA"
Anand Avati,"PhD Candidate, Stanford University"
Daisy Ding,"PhD Student, Stanford University"
Khanh K. Thai,University of California Los Angeles
Sanjay Basu,nan
Andrew Ng,Stanford University
Alejandro Schuler,Audi AG
Jianye Hao,Tianjin University
Guangyong Chen,"Associate Professor, Shenzhen Institutes of Advanced Technology, Chinese Academy of …"
Yingfeng Chen,National Cheng Kung University
Zhongyu Wei,"Associate Professor at School of Data Science, Fudan University"
Lucas Caccia,McGill University
Massimo Caccia,Università dell'Insubria
Sungsoo Ahn,KAIST
Younggyo Seo,"MS Student, KAIST"
Jimmy Lin,Johns Hopkins School of Medicine
Diane Hu,"Department of Organic Chemisitry and Technology, Budapest University of Technology"
Margo Seltzer,University of British Columbia
John Miller,nan
Karl Krauth,"PhD student, UC Berkeley"
Ludwig Schmidt,"Ludwig-Maximilians-Universität München, Department of Statistics, Bioimaging group"
Benjamin Recht,"Associate Professor of EECS, University of California, Berkeley"
Hossein Taheri,"Assistant Professor, Department of Manufacturing Engineering, Georgia Southern University"
Aryan Mokhtari,"Assistant Professor, ECE, University of Texas at Austin"
Hamed Hassani,"Professor of Electrical Engineering , Shahed University"
Ramtin Pedarsani,"Assistant Professor, Electrical and Computer Engineering, UC Santa Barbara"
Polina Kirichenko,New York University
Yuandong Tian,"Research Scientist, Facebook AI Research"
Brian Axelrod,Stanford
Vatsal Sharan,Stanford University
Shruti Tople,Microsoft Research
Amit Sharma,Love Vashikaran Astrology
Aditya Nori,Microsoft Research
Zhe Feng,"Institute of Metal Research, CAS"
David Parkes,"George F. Colony Professor of Computer Science, Harvard University"
Haifeng Xu,University hospital Düsseldorf
Yusuke Tsuzuku,"Preferred Networks, Inc."
Edric Tam,"Duke University, Columbia University"
David Dunson,Arts & Sciences Professor of Statistical Science & Mathematics
Aditya Bhaskara,University of Utah
Manish Purohit,Google
Jing Zhou,"Mary Gibbs Jones Professor of Management, Rice University"
Akira Nakagawa,Ishikawa Prefectural University
Xiaoming Sun,Beijing University of Chemical Technology
Jialin Zhang,Ph.D and MD
Zhijie Zhang,Tsinghua University
Jonathan Lacotte,Stanford University
Yan Yan,Department of Computer Information and Network Engineering Lunghwa University of …
Yi Xu,"Department of Periodontology, West China School of Stomatology, Sichuan University, No …"
Wang Xiaoyu,"Research Assistant Professor at UNC Charlotte, Computer Science Department"
Vignesh Ganapathiraman,University of Illinois at Chicago
Xinhua Zhang,University of Illinois at Chicago
Vaishaal Shankar,UC Berkeley
Alex Fang,Entrada Ventures
Wenshuo Guo,"PhD student, UC Berkeley"
Sara Fridovich-Keil,"PhD student, EECS, UC Berkeley"
Jonathan Ragan-Kelley,MIT CSAIL
Adam Ibrahim,"michael h abraham, university college london, ucl"
Waïss Azizian,"Student, Ecole Normale Supérieure, Paris"
Gauthier Gidel,PhD candidate at MILA
Ioannis Mitliagkas,"Assistant Professor at Mila, University of Montréal"
Panayotis Mertikopoulos,CNRS researcher
Long-Kai Huang,"Nanyang Technological University, Singapore"
Sinno Jialin Pan,"Nanyang Technological University, Singapore"
Yu-Sheng Li,National Taiwan University
Wei-Lin Chiang,"Department of Computer Science, National Taiwan University"
Feng Zhu,University of Southern California
Taejong Joo,Seoul National University
Uijung Chung,ESTsoft
Kimin Lee,"Postdoc, UC Berkeley"
Seunghyun Lee,University of Texas at Dallas
Honglak Lee,Google Brain / U. Michigan
Pasquale Minervini,University College London
Tim Rocktäschel,"Research Scientist at Facebook AI Research, Lecturer at University College London"
Sebastian Riedel,"Professor @ University College London, Researcher @ Facebook AI Research"
Edward Grefenstette,"Research Scientist, Facebook AI Research; Honorary Associate Professor, UCL"
Pontus Stenetorp,"Lecturer, University College London"
Yuichi Yoshida,National Institute of Informatics
Supratim Shit,"Computer Science, IIT Gandhinagar"
Anirban Dasgupta,"Professor, IIT Gandhinagar"
Rachit Chhaya,IIT Gandhinagar
Jayesh Choudhari,"Assistant of Professor Computer Engineering, Sarvajanik College of Engineering and …"
Florian Wenzel,"Head of Department, Dept. of Neurology, Kliniken im Theodor-Wenzel-Werk"
Kevin Roth,Columbia University College of Physicians and Surgeons
Bastiaan Veeling,University of Amsterdam
Jakub Swiatkowski,"PhD Student, University of Warsaw"
Linh Tran,Warsaw University of Technology; Hanoi University of Science and Technology; Hanoi …
Stephan Mandt,"Assistant Professor, University of California, Irvine"
Jasper Snoek,Google Brain
Tim Salimans,Google Brain Amsterdam
Rodolphe Jenatton,"Senior machine learning scientist at Google Brain, Berlin"
Jilles Dibangoye,Associate Professor at INSA Lyon / Inria Grenoble Rhône-Alpes
Ilay Luz,"MSc in Computer Science, Weizmann Institute of Science"
Irad Yavneh,"Professor of Computer Science, Technion"
Krishna Balasubramanian,Indian Institute of Technology
Xiaochuan Yang,UCHC
Youngsuk Park,Stanford University
Ryan Rossi,Adobe Research
Gang Wu,"Professor of Chemical Engineering, University at Buffalo, SUNY"
Handong Zhao,"Professor of Electrical and Automation Engineering, Shandong University of Science and …"
Hyeonseong Jeon,"Master student of Artificial Intelligence, Sungkyunkwan University"
Young Oh Bang,"Professor of Neurology, Samsung Medical Center"
Simon Woo,Simon Fraser University
Taco Cohen,"PhD Student, University of Amsterdam"
Nutan Chen,"Machine Learning Research Lab, Volkswagen Group"
Alexej Klushyn,"PhD Student, Volkswagen Group ML Research  | Technical University of Munich"
Justin Bayer,Volkswagen AG
Patrick van der Smagt,nan
Vaibhav Rajan,"Assistant Professor, School of Computing, NUS, Singapore"
Yun Yun Tsai,SLAC National Accelerator Laboratory
Pierre Perrault,"Inria Sequel, ENS Paris Saclay"
Jennifer Healey,"Senior Research Scientist, Adobe"
Naoto Ohsaka,Suita municipal hospital
Jean-Bastien Grill,nan
Florent Altché,"Research Engineer, DeepMind"
Thomas Hubert,"Research School of Chemistry, Australian National University"
Yuping Luo,"Computer Science Department, Princeton University"
Tianhe Yu,Stanford University
Tengyu Ma,Stanford University
Josh V Dillon,Google
Laurence Aitchison,University of Cambridge
Olivier Henaff,"Research Scientist, DeepMind"
Yueming LYU,University of Technology Sydney
Kei Ota,Mitsubishi Electric
Devesh Jha,"Principal Research Scientist, MERL"
Daniel Nikovski,"Group Manager, Mitsubishi Electric Research Labs"
Byung-Jun Lee,KAIST
Jongmin Lee,"Department of Biomedical Engineering, Hanyang University, Seoul, Korea"
Peter Vrancx,Principal Member Of Technical Staff at IMEC
Dongho Kim,"Professor of Chemistry, Yonsei University"
Kee-Eung Kim,KAIST
Tom Jurgenson,"Assistant Professor, Department of Economics, University of Copenhagen"
Or Avner,"Professor of geochemistry and water quality, Duke University"
Aviv Tamar,"Professor of Zoology and Chair, the Steinhardt Museum of Natural History, Tel Aviv …"
Vinayak Abrol,"Mathematical Institute, Oxford University"
Pulkit Sharma,"Post-doctoral Researcher, University of Oxford"
Lijun Wu,"Fuzhou University, China"
Yingce Xia,Microsoft Research Asia
Yang Fan,Tsinghua University
Tao Qin,"Senior Principal Research Manager, Microsoft Research Asia"
Adrià Puigdomenech Badia,DeepMind
Bilal Piot,DeepMind
Steven Kapturowski,DeepMind
Pablo Sprechmann,Research Scientist at Google DeepMind
Zhaohan Guo,DeepMind
Charles Blundell,Research Scientist at DeepMind
Xingjian Li,"Professor, School of Physics Science and Technology, Xinjiang University"
Dejing Dou,"Professor of Computer Science, University of Oregon/Head of Big Data Lab, Baidu"
Cheng-Zhong Xu,Université de Lyon
Christopher Anders,nan
Klaus-robert Mueller,"Google Brain (on leave of Professor for Machine Learning, TU Berlin & Korea University …"
Pan Kessel,TU Berlin
Ugo Tanielian,UPMC - Criteo
Thibaut Issenhuth,Criteo AI LAB
Elvis Dohmatob,"Researcher, Criteo"
Jeremie Mary,Saint Mary's University
Ibrahim Jubran,"Computer Science Department, University of Haifa"
Dan Feldman,Johns Hopkins University (JHU) Applied Physics Lab (APL)
Dimitris Kalatzis,"PhD student, Technical University of Denmark"
David Eklund,Danmarks Tekniske Universitet
Georgios Arvanitidis,Postdoctoral Researcher
Søren Hauberg,"Cognitive Systems, DTU Compute, Technical University of Denmark"
Kangrui Wang,Alan Turing Institute
Ollie Hamelijnck,nan
Theo Damoulas,"Associate Professor, University of Warwick"
Mark Steel,"Professor of Statistics, University of Warwick"
Yuhao Zhou,University of Rochester
Jiaxin Shi,"Ph.D. Candidate, Tsinghua University"
Yansong Gao,"Data61, CSIRO"
Pratik Chaudhari,King's College London
Hai Phan,Physics Department-Quy Nhon University
Han Hu,"Departments of Pharmacological Sciences, and Neuroscience, Icahn School of Medicine at …"
Ruoming Jin,"Professor of Computer Science, Kent State University"
Tong Sun,"Professor of Cell Biology, Dermatology, Pharmacology & Urology, NYU School of Medicine"
Geon-Hyeong Kim,"School of Computing, KAIST"
Youngsoo Jang,"Assistant Professor, Shanghai University of Finance and Economics"
Tanner Fiez,Graduate Student at the University of Washington
Benjamin Chasnov,University of Washington
Lillian  Ratliff,"Asst Prof, UW Seattle"
Guy Hacohen,"PhD student, Hebrew University of Jerusalem"
Leshem Choshen,"Hebrew University of Jerusalem, IBM AI research"
Daphna Weinshall,"Professor of Computer Science, Hebrew University"
Natasa Tagasovska,Swiss Data Science Center
Thibault Vatter,Columbia University
Sagar Kale,Postdoc at University of Vienna
Csaba Toth,LBNL
Yaniv Blumenfeld,"EE student (Master), Technion"
Dar Gilboa,"Graduate Student, Columbia University"
Daniel Soudry,Assistant Professor
Xiaotian Hao,Tianjin University
Zhaoqing Peng,"Associate Professor, Zhaoqing University"
Guan Wang,Head of AI
Junqi Jin,Tsinghua University
Shan Chen,"1. Sun Yat-Sen University, 2. Sun Yat-Sen University Cancer Center"
Zhenzhe Zheng,NTU
Chuan Yu,"Dean, College of Medical Science and Technology; Professor, Dept. Biomedical Informatics …"
John Martin,"Professor of philosophy, university of cincinnati"
Michal Lyskawinski,Stevens Institute of Technology
Xiaohu Li,Stevens Institute of Technology
Brendan Englot,Assistant Professor at Stevens Institute of Technology
Pratyush Maini,Indian Institute of Technology Delhi
Rasheed El-Bouri,University of Oxford
David Eyre,University of Oxford
Peter Watkinson,Oxford
Tingting Zhu,University of Oxford
David Clifton,"Professor of Clinical Machine Learning, University of Oxford"
Ronen Talmon,"Associate Professor, EE Department, Technion"
Bruno Loureiro,PhD Student - FEUP
Marc Mezard,Ecole normale supérieure Paris
Lenka Zdeborova,"IPhT, CEA Saclay, France"
Robert Mattila,KTH Royal Institute of Technology
Cristian R. Rojas,"Associate Professor, Division of Decision and Control Systems, KTH Royal Institute of …"
Eric Moulines,"Professeur, Ecole Polytechnique, Membre de l'Académie des Sciences"
Vikram Krishnamurthy,"Professor, Electrical & Computer Engineering, Cornell University"
Bo Wahlberg,"Professor Automatic Control, KTH Royal Institute of Technology"
Amélie Héliou,CAIL
Hangbo Bao,Harbin Institute of Technology
Li Dong,Institute of Computing Technology，Chinese Academy of Sciences
